id,source,source_file,record_type,sno,date_raw,date,date_year_assumed,shift,time_of_day,category_raw,category,sub_category,area_raw,area,department,unit,sub_location,observer_id,status,corrective_action,comments,extra,description,description_words,text,is_duplicate,duplicate_of,dup_kind,duplicate_ids
reg_near_miss_report_0035,register,near_miss_report.csv,near_miss,35,07-Jun,2024-06-07,True,,Day,Unsafe condition,UC,NARROW ESCAPE,PPO Laminator machin,PPO LAMINATOR MACHIN,,,,56c60d15,CLOSED,Crane serviced and lifting ropes replaced,,,Laminator overhead crane collapsed due to lifting rope failure,9,Laminator overhead crane collapsed due to lifting rope failure,False,,,
reg_near_miss_report_0036,register,near_miss_report.csv,near_miss,36,24-Jun,2024-06-24,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Corrugator,CORRUGATOR,,,,d335a563,CLOSED,Oil resistant shoes recommended and being followed up through HR office.,Anti-slip shoes issued to all technician,,Engineering technician slipped on the glue at corrugator area,9,Engineering technician slipped on the glue at corrugator area,False,,,
reg_near_miss_report_0037,register,near_miss_report.csv,near_miss,37,26-Jun,2024-06-26,True,,Night,Unsafe condition,UC,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,e4e58f55,CLOSED,Removed motor cover taken back,,,One operator stepped on the removed motor cover almost falling,10,One operator stepped on the removed motor cover almost falling,False,,,
reg_near_miss_report_0038,register,near_miss_report.csv,near_miss,38,20-Jul,2024-07-20,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,e4e58f55,CLOSED,Leaking pipe replaced,,,Slipped on leaking lubricating oil on the floor near chamber drain,11,Slipped on leaking lubricating oil on the floor near chamber drain,False,,,
reg_near_miss_report_0039,register,near_miss_report.csv,near_miss,39,01-Aug,2024-08-01,True,,Night,Unsafe condition,UC,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,e4e58f55,CLOSED,Leakage arrested,,,Slipped omn the leaking oil at the vibrator unit,9,Slipped omn the leaking oil at the vibrator unit,False,,,
reg_near_miss_report_0040,register,near_miss_report.csv,near_miss,40,02-Aug,2024-08-02,True,,Day,Unsafe Act,UA,EQUIPMENT OPERATION AND MAINTENANCE,CCD Baling machine,CCD BALING MACHINE,,,,d29a7777,CLOSED,LOTO device fixed on the emergency button for safe operation while fixing binding wire,,,Machine operator switched on baling machine while fixing binding wire inside the machie,13,Machine operator switched on baling machine while fixing binding wire inside the machie,False,,,
reg_near_miss_report_0041,register,near_miss_report.csv,near_miss,41,02-Aug,2024-08-02,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,9 PA,9 PA,,,,b5a18519,OPEN,Shoes lack enough grip,,,Slipped on sludge covers,4,Slipped on sludge covers,False,,,
reg_near_miss_report_0042,register,near_miss_report.csv,near_miss,42,15-Aug,2024-08-15,True,,Day,Unsafe condition,UC,FALLING OBJECTS,9PB Strapping area,9 PB STRAPPING AREA,,,,ecd1830b,CLOSED,Standard of stacking to be enforced by the line leader,,,One of the dispatch attendant was about to be injured when bundles of boxes fell while he was picking palletized finished goods-High stacking,23,One of the dispatch attendant was about to be injured when bundles of boxes fell while he was picking palletized finished goods-High stacking,False,,,
reg_near_miss_report_0043,register,near_miss_report.csv,near_miss,43,16-Aug,2024-08-16,True,,Night,Unsafe condition,UC,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,8e2896cf,CLOSED,Rollers to be realigned.,,,Slipped on the unbalanced rollers,5,Slipped on the unbalanced rollers,False,,,
reg_near_miss_report_0044,register,near_miss_report.csv,near_miss,44,10-Sep,2024-09-10,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,a789e219,CLOSED,Oil spillage cleaned immediately,,,Slipped on spilled oil,4,Slipped on spilled oil,False,,,
